iter	Logloss
0	0.6832479711
1	0.6736062684
2	0.6639570967
3	0.6552915494
4	0.6471085981
5	0.6385675992
6	0.6300178929
7	0.6213468657
8	0.6141779538
9	0.6065927864
10	0.6019211253
11	0.5958459255
12	0.5899640098
13	0.5844969985
14	0.5789946747
15	0.5729019385
16	0.5683206952
17	0.5634076266
18	0.5598675147
19	0.5559517115
20	0.5516450666
21	0.5490571562
22	0.545680962
23	0.5410966586
24	0.5386466602
25	0.5361135204
26	0.5339997709
27	0.5318931761
28	0.5291302513
29	0.5272354739
30	0.5252769715
31	0.5235464328
32	0.5207252448
33	0.5183778103
34	0.517038017
35	0.5145933416
36	0.5122571341
37	0.5106433694
38	0.5093083943
39	0.5081079771
40	0.5057391549
41	0.5038563656
42	0.5022464492
43	0.500376728
44	0.4985877459
45	0.4970544365
46	0.4955840219
47	0.4940226961
48	0.492605776
49	0.4912199635
50	0.4902521064
51	0.4894328951
52	0.4876993816
53	0.4866105814
54	0.4855310903
55	0.4846652825
56	0.483760502
57	0.4827709357
58	0.4821521692
59	0.4811751316
60	0.4805568693
61	0.4796560066
62	0.4785744226
63	0.4777893567
64	0.4772515372
65	0.4766025558
66	0.475749819
67	0.4750681728
68	0.4745826553
69	0.4739328489
70	0.4734611797
71	0.4729337817
72	0.4724764912
73	0.4717082187
74	0.4707813941
75	0.4700737309
76	0.4695082551
77	0.4689324947
78	0.4681864421
79	0.467684944
80	0.4672740832
81	0.4669153522
82	0.4661898831
83	0.4658213228
84	0.4653563765
85	0.4649766967
86	0.4644709353
87	0.4641496186
88	0.4637293182
89	0.4633064453
90	0.4629113955
91	0.4621831383
92	0.4616291913
93	0.4613592237
94	0.4609982405
95	0.4607029296
96	0.4601573061
97	0.4599086409
98	0.4595283987
99	0.4592290995
100	0.4587796345
101	0.4586373941
102	0.4582910602
103	0.4581458628
104	0.4578194835
105	0.4574980881
106	0.4572643921
107	0.4568740226
108	0.4565139934
109	0.4560992244
110	0.4558792951
111	0.455516179
112	0.4553436979
113	0.4549721988
114	0.4546547177
115	0.4542782403
116	0.454120314
117	0.4537721107
118	0.4533765733
119	0.4530395084
120	0.4527763517
121	0.4524886193
122	0.452274324
123	0.4521302504
124	0.4518345778
125	0.451691564
126	0.4514977696
127	0.4513456009
128	0.4511143926
129	0.4508011922
130	0.4505143187
131	0.4502521656
132	0.4500624936
133	0.4499026405
134	0.4496438068
135	0.4493947437
136	0.4492241369
137	0.4490469037
138	0.4487735374
139	0.4485128246
140	0.4483406738
141	0.4482077146
142	0.4479211076
143	0.4476731729
144	0.4475072114
145	0.4472873609
146	0.4471365437
147	0.4469641179
148	0.4467211787
149	0.4464845634
150	0.4463018333
151	0.4461502032
152	0.4459692563
153	0.4458529997
154	0.4456938102
155	0.4455448063
156	0.4453316612
157	0.4452466768
158	0.4450703673
159	0.4449091865
160	0.4447683149
161	0.444536099
162	0.4442880613
163	0.4441435376
164	0.444000904
165	0.4438590185
166	0.4437500301
167	0.4436246134
168	0.4434163266
169	0.4432420899
170	0.4431185229
171	0.4429651904
172	0.4428479522
173	0.4427263503
174	0.4425798436
175	0.4425170842
176	0.4423812029
177	0.44229109
178	0.4421676124
179	0.4419612216
180	0.4419473841
181	0.4418221825
182	0.4416586779
183	0.4415391674
184	0.4414806545
185	0.4412545411
186	0.4412178994
187	0.4410271682
188	0.4408292097
189	0.4407152061
190	0.440601101
191	0.4404744802
192	0.4403302895
193	0.4402643045
194	0.4400967607
195	0.4399993707
196	0.4398948235
197	0.4397838512
198	0.4396936919
199	0.4395938681
200	0.4394702657
201	0.4393378601
202	0.4392049241
203	0.4391443512
204	0.439007475
205	0.4389371531
206	0.4388194995
207	0.438764896
208	0.438654919
209	0.4384584358
210	0.4383469988
211	0.4382761176
212	0.4381697235
213	0.4380674994
214	0.4379912491
215	0.4378982491
216	0.4376984759
217	0.4375563099
218	0.4373914125
219	0.437284882
220	0.437196137
221	0.4370321178
222	0.4369841451
223	0.4368532338
224	0.4367394541
225	0.4366060961
226	0.4365007665
227	0.4363984463
228	0.4362490049
229	0.4361758045
230	0.436016253
231	0.4358621509
232	0.4357980854
233	0.4356616927
234	0.4355652856
235	0.4354720227
236	0.4353921175
237	0.4351662947
238	0.4351046456
239	0.4349729598
240	0.4348784488
241	0.4347865988
242	0.4346871507
243	0.4345784885
244	0.4344901443
245	0.4343793993
246	0.4343457598
247	0.4342039526
248	0.4340671666
249	0.4339490497
250	0.4337772821
251	0.4336780282
252	0.4335778985
253	0.4334605554
254	0.4333826609
255	0.4332701233
256	0.4331966922
257	0.4331292744
258	0.432966812
259	0.4328872907
260	0.4327408894
261	0.4325825353
262	0.4325394905
263	0.432423058
264	0.4323349844
265	0.4321818408
266	0.4321201494
267	0.4319935519
268	0.4319023592
269	0.4318475811
270	0.4317837574
271	0.4316819866
272	0.431630984
273	0.4315683922
274	0.4314950587
275	0.4314091187
276	0.4313178418
277	0.4311606205
278	0.4310953342
279	0.4310322907
280	0.4309929653
281	0.4308781208
282	0.430761973
283	0.430685498
284	0.4305727336
285	0.4304325712
286	0.4303496693
287	0.4302381001
288	0.4301811303
289	0.4301118613
290	0.4299586631
291	0.4297479508
292	0.4295916242
293	0.4294972048
294	0.429388447
295	0.4292519627
296	0.4291548553
297	0.4290663512
298	0.4289830813
299	0.4289315721
300	0.4288745575
301	0.4287814388
302	0.4285754224
303	0.4284559033
304	0.4282735697
305	0.4281159835
306	0.4279909271
307	0.4279366787
308	0.4278492909
309	0.4276999664
310	0.4275901285
311	0.4275844889
312	0.4275071789
313	0.427465379
314	0.4273835376
315	0.4272893087
316	0.4271896264
317	0.4270859852
318	0.4269943717
319	0.4269189973
320	0.4268563202
321	0.4268046174
322	0.426639073
323	0.4266372968
324	0.4265834485
325	0.4265220715
326	0.426467748
327	0.4264099978
328	0.4263443766
329	0.4261862651
330	0.4261081398
331	0.426040007
332	0.4259903205
333	0.4259777849
334	0.4259621111
335	0.4258220862
336	0.4257252422
337	0.4256705623
338	0.4255853353
339	0.4255204266
340	0.4254116714
341	0.4252894814
342	0.4250580814
343	0.4249951238
344	0.424911284
345	0.4247152401
346	0.4246553552
347	0.4245929066
348	0.4245374214
349	0.4244925757
350	0.424406441
351	0.4243527509
352	0.4242543784
353	0.4241933449
354	0.4240032446
355	0.4239602713
356	0.4239044815
357	0.4238311032
358	0.4236660057
359	0.4236014452
360	0.4234867392
361	0.4232938627
362	0.4232314146
363	0.4231721754
364	0.4230896105
365	0.4229977584
366	0.422856186
367	0.4228154078
368	0.4226935942
369	0.4226175461
370	0.4225096938
371	0.422418877
372	0.4223333771
373	0.4222917647
374	0.4222137414
375	0.4221247239
376	0.4220290342
377	0.4219537461
378	0.4218677888
379	0.4217400157
380	0.4217031533
381	0.4216147107
382	0.4214494474
383	0.421426208
384	0.4213474897
385	0.4213052292
386	0.4212226432
387	0.4211607451
388	0.4210140476
389	0.4209240677
390	0.4208552974
391	0.420729299
392	0.420660818
393	0.4205818689
394	0.4204849149
395	0.4203558761
396	0.4202648814
397	0.4201497851
398	0.4200497188
399	0.4199366302
400	0.4198415618
401	0.4197481678
402	0.4196313191
403	0.419515685
404	0.4194146288
405	0.4192899165
406	0.4191772754
407	0.4189974776
408	0.4189378104
409	0.4187001571
410	0.4185892616
411	0.4184552061
412	0.4183301344
413	0.4182796252
414	0.4181094623
415	0.4180353619
416	0.4179615601
417	0.4178474926
418	0.4177751911
419	0.4175669231
420	0.4175151512
421	0.4174444017
422	0.4173315204
423	0.4172165289
